Phecode,ICD string,Layer
165,Carcinoma in situ of respiratory system,3
165,Malignant neoplasm of ill-defined sites within the respiratory system,3
165,Malignant neoplasm of other sites within the respiratory system and intrathoracic organs,3
165,"Carcinoma in situ of respiratory system, part unspecified",3
165,Personal history of malignant neoplasm of other respiratory and intrathoracic organs,3
165,Personal history of malignant neoplasm of trachea,3
165,"Malignant neoplasm: Upper respiratory tract, part unspecified",3
165,"Personal history of malignant neoplasm of trachea, bronchus and lung",3
165,Malignant neoplasm of pleura,3
165,Personal history of malignant neoplasm of other respiratory and intrathoracic organs,3
165,"Malignant neoplasm of upper respiratory tract, part unspecified",3
165,Malignant neoplasm of parietal pleura,3
165,"Personal history of malignant neoplasm of trachea, bronchus, and lung",3
165,Malignant neoplasm: Overlapping lesion of respiratory and intrathoracic organs,3
165,"Carcinoma in situ: Respiratory system, unspecified",3
165,Malignant neoplasm: Pleura,3
165,Carcinoma in situ of trachea,3
165,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,3
165,Personal history of malignant neoplasm of other respiratory and intrathoracic organs,3
165,Mesothelioma of pleura,3
165,Personal history of malignant neoplasm of unspecified respiratory organ,3
165,Carcinoma in situ: Trachea,3
165,Carcinoma in situ: Other parts of respiratory system,3
165,Malignant neoplasm: Ill-defined sites within the respiratory system,3
165,Malignant neoplasm of visceral pleura,3
164,Malignant neoplasm: Posterior mediastinum,3
164,"Malignant neoplasm: Overlapping lesion of heart, mediastinum and pleura",3
164,Mesothelioma of pericardium,3
164,"Malignant neoplasm of mediastinum, part unspecified",3
164,Malignant neoplasm of thorax,3
164,Malignant neoplasm of thymus,3
164,Malignant neoplasm of anterior mediastinum,3
164,Malignant neoplasm: Anterior mediastinum,3
164,Malignant neoplasm: Heart,3
164,"Malignant neoplasm of thymus, heart, and mediastinum",3
164,Malignant neoplasm of thymus,3
164,"Malignant neoplasm: Mediastinum, part unspecified",3
164,Malignant neoplasm of other and ill-defined sites: Thorax,3
164,Malignant neoplasm of other parts of mediastinum,3
164,Malignant neoplasm of posterior mediastinum,3
164,Malignant neoplasm of heart,3
170,Malignant neoplasm of bone and articular cartilage,3
170.1,"Malignant neoplasm of bones of skull and face, except mandible",2
170.1,"Malignant neoplasm of vertebral column, excluding sacrum and coccyx",2
170.1,Malignant neoplasm: Vertebral column,2
170.1,Malignant neoplasm: Scapula and long bones of upper limb,2
170.1,"Malignant neoplasm: Bone and articular cartilage of limb, unspecified",2
170.1,Malignant neoplasm of short bones of lower limb,2
170.1,Malignant neoplasm of short bones of upper limb,2
170.1,"Malignant neoplasm of ribs, sternum, and clavicle",2
170.1,Malignant neoplasm: Bones of skull and face,2
170.1,Personal history of malignant neoplasm of bone,2
170.1,"Malignant neoplasm of bone and articular cartilage, site unspecified",2
170.1,"Malignant neoplasm: Ribs, sternum and clavicle",2
170.1,"Malignant neoplasm: Pelvic bones, sacrum and coccyx",2
170.1,Malignant neoplasm: Short bones of upper limb,2
170.1,Malignant neoplasm of bone and articular cartilage of limbs,2
170.1,Malignant neoplasm: Long bones of lower limb,2
170.1,"Malignant neoplasm of pelvic bones, sacrum, and coccyx",2
170.1,Malignant neoplasm: Overlapping lesion of bone and articular cartilage of limbs,2
170.1,Malignant neoplasm of scapula and long bones of upper limb,2
170.1,"Malignant neoplasm: Bone and articular cartilage, unspecified",2
170.1,Malignant neoplasm: Short bones of lower limb,2
170.1,Malignant neoplasm of mandible,2
170.1,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,2
170.1,Malignant neoplasm of long bones of lower limb,2
170.1,Malignant neoplasm: Mandible,2
170.2,"Malignant neoplasm: Peripheral nerves of head, face and neck",2
170.2,Malignant neoplasm: Peripheral nerves of thorax,2
170.2,Malignant neoplasm: Overlapping lesion of connective and soft tissue,2
170.2,Malignant neoplasm of connective and other soft tissue,2
170.2,Malignant neoplasm: Overlapping lesion of peripheral nerves and autonomic nervous system,2
170.2,"Malignant neoplasm of connective and other soft tissue of head, face, and neck",2
170.2,"Malignant neoplasm: Connective and soft tissue of lower limb, including hip",2
170.2,"Malignant neoplasm: Peripheral nerves of trunk, unspecified",2
170.2,"Malignant neoplasm: Connective and soft tissue of trunk, unspecified",2
170.2,Malignant neoplasm: Connective and soft tissue of pelvis,2
170.2,"Malignant neoplasm of connective and other soft tissue of lower limb, including hip",2
170.2,"Malignant neoplasm: Connective and soft tissue, unspecified",2
170.2,"Malignant neoplasm of connective and other soft tissue, site unspecified",2
170.2,Malignant neoplasm: Connective and soft tissue of abdomen,2
170.2,"Malignant neoplasm: Connective and soft tissue of head, face and neck",2
170.2,Malignant neoplasm: Peripheral nerves of abdomen,2
170.2,"Malignant neoplasm of connective and other soft tissue of trunk, unspecified",2
170.2,"Malignant neoplasm: Peripheral nerves of lower limb, including hip",2
170.2,Malignant neoplasm: Peripheral nerves of pelvis,2
170.2,Malignant neoplasm of other connective and soft tissue,2
170.2,Malignant neoplasm of connective and other soft tissue of abdomen,2
170.2,"Malignant neoplasm: Connective and soft tissue of upper limb, including shoulder",2
170.2,Malignant neoplasm of connective and other soft tissue of pelvis,2
170.2,Malignant neoplasm: Connective and soft tissue of thorax,2
170.2,"Malignant neoplasm: Peripheral nerves and autonomic nervous system, unspecified",2
170.2,Malignant neoplasm of other specified sites of connective and other soft tissue,2
170.2,Malignant neoplasm of peripheral nerves and autonomic nervous system,2
170.2,"Malignant neoplasm: Peripheral nerves of upper limb, including shoulder",2
170.2,Malignant neoplasm of connective and other soft tissue of thorax,2
170.2,"Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder",2
172.11,Malignant melanoma of skin,1
172.11,"Malignant neoplasm: Malignant melanoma of upper limb, including shoulder",1
172.11,"Malignant melanoma of skin of upper limb, including shoulder",1
172.11,Malignant melanoma of skin of scalp and neck,1
172.11,"Malignant melanoma of skin of eyelid, including canthus",1
172.11,Melanoma in situ,1
172.11,Melanoma in situ of other sites,1
172.11,Malignant neoplasm: Malignant melanoma of trunk,1
172.11,"Melanoma in situ, unspecified",1
172.11,Melanoma in situ of lip,1
172.11,Malignant melanoma of skin of lip,1
172.11,Malignant neoplasm: Malignant melanoma of other and unspecified parts of face,1
172.11,Malignant neoplasm: Malignant melanoma of scalp and neck,1
172.11,Melanoma in situ of scalp and neck,1
172.11,Melanoma in situ of trunk,1
172.11,"Melanoma in situ of lower limb, including hip",1
172.11,"Malignant neoplasm: Malignant melanoma of eyelid, including canthus",1
172.11,Malignant melanoma of other specified sites of skin,1
172.11,Malignant melanoma of skin,1
172.11,"Malignant neoplasm: Malignant melanoma of lower limb, including hip",1
172.11,"Melanoma in situ of upper limb, including shoulder",1
172.11,Malignant neoplasm: Malignant melanoma of ear and external auricular canal,1
172.11,"Melanoma in situ of eyelid, including canthus",1
172.11,"Melanoma of skin, site unspecified",1
172.11,Malignant neoplasm: Malignant melanoma of lip,1
172.11,Melanoma in situ of other and unspecified parts of face,1
172.11,Malignant melanoma of skin of ear and external auditory canal,1
172.11,Malignant melanoma of skin of other and unspecified parts of face,1
172.11,Melanoma in situ of ear and external auricular canal,1
172.11,"Malignant neoplasm: Malignant melanoma of skin, unspecified",1
172.11,"Malignant melanoma of skin of trunk, except scrotum",1
172.11,"Malignant melanoma of skin of lower limb, including hip",1
172.11,Malignant neoplasm: Overlapping malignant melanoma of skin,1
172.2,Other malignant neoplasm of skin of ear and external auditory canal,2
172.2,"Unspecified malignant neoplasm of skin of lower limb, including hip",2
172.2,Merkel cell carcinoma of the upper limb (ADDED),2
172.2,"Other specified malignant neoplasm of eyelid, including canthus",2
172.2,"Other specified malignant neoplasm of skin, site unspecified",2
172.2,Other malignant neoplasm of scalp and skin of neck,2
172.2,Other malignant neoplasm of other specified sites of skin,2
172.2,Malignant neoplasm: Skin of trunk,2
172.2,"Malignant neoplasm: Skin of eyelid, including canthus",2
172.2,Malignant neoplasm: Skin of other and unspecified parts of face,2
172.2,Merkel cell carcinoma of the lower limb (ADDED),2
172.2,Malignant neoplasm: Skin of lip,2
172.2,"Unspecified malignant neoplasm of skin of trunk, except scrotum",2
172.2,Malignant neoplasm: Skin of scalp and neck,2
172.2,Merkel cell carcinoma of the face (ADDED),2
172.2,Other specified malignant neoplasm of skin of ear and external auditory canal,2
172.2,Other malignant neoplasm of skin of lip,2
172.2,Unspecified malignant neoplasm of scalp and skin of neck,2
172.2,"Other specified malignant neoplasm of skin of upper limb, including shoulder",2
172.2,Merkel cell carcinoma of the scalp & neck (ADDED),2
172.2,"Unspecified malignant neoplasm of skin, site unspecified",2
172.2,Merkel cell carcinoma of other sites (ADDED),2
172.2,Other malignant neoplasm of skin of other and unspecified parts of face,2
172.2,Malignant neoplasm: Skin of ear and external auricular canal,2
172.2,"Malignant neoplasm: Malignant neoplasm of skin, unspecified",2
172.2,"Unspecified malignant neoplasm of skin of upper limb, including shoulder",2
172.2,Malignant neoplasm: Overlapping lesion of skin,2
172.2,Unspecified malignant neoplasm of skin of lip,2
172.2,"Other specified malignant neoplasm of skin of trunk, except scrotum",2
172.2,Other specified malignant neoplasm of other specified sites of skin,2
172.2,Merkel cell carcinoma of the trunk (ADDED),2
172.2,"Malignant neoplasm: Skin of lower limb, including hip",2
172.2,Personal history of other malignant neoplasm of skin,2
172.2,"Other malignant neoplasm of skin, site unspecified",2
172.2,Other specified malignant neoplasm of skin of other and unspecified parts of face,2
172.2,Unspecified malignant neoplasm of other specified sites of skin,2
172.2,Unspecified malignant neoplasm of skin of other and unspecified parts of face,2
172.2,Other specified malignant neoplasm of skin of lip,2
172.2,"Malignant neoplasm: Skin of upper limb, including shoulder",2
172.2,"Other malignant neoplasm of skin of eyelid, including canthus",2
172.2,"Unspecified malignant neoplasm of eyelid, including canthus",2
172.2,Unspecified malignant neoplasm of skin of ear and external auditory canal,2
172.2,Other specified malignant neoplasm of scalp and skin of neck,2
172.2,"Other malignant neoplasm of skin of trunk, except scrotum",2
172.2,"Other malignant neoplasm of skin of upper limb, including shoulder",2
172.2,Other malignant neoplasm of skin,2
172.2,"Other specified malignant neoplasm of skin of lower limb, including hip",2
172.2,"Other malignant neoplasm of skin of lower limb, including hip",2
172.21,Basal cell carcinoma of scalp and skin of neck,1
172.21,"Basal cell carcinoma of skin, site unspecified",1
172.21,"Basal cell carcinoma of skin of upper limb, including shoulder",1
172.21,"Basal cell carcinoma of eyelid, including canthus",1
172.21,Basal cell carcinoma of skin of ear and external auditory canal,1
172.21,Basal cell carcinoma of skin of lip,1
172.21,"Basal cell carcinoma of skin of lower limb, including hip",1
172.21,Basal cell carcinoma of other specified sites of skin,1
172.21,"Basal cell carcinoma of skin of trunk, except scrotum",1
172.21,Basal cell carcinoma of skin of other and unspecified parts of face,1
172.22,Squamous cell carcinoma of scalp and skin of neck,1
172.22,Squamous cell carcinoma of skin of ear and external auditory canal,1
172.22,"Squamous cell carcinoma of eyelid, including canthus",1
172.22,Squamous cell carcinoma of skin of other and unspecified parts of face,1
172.22,"Squamous cell carcinoma of skin of trunk, except scrotum",1
172.22,"Squamous cell carcinoma of skin of lower limb, including hip",1
172.22,"Squamous cell carcinoma of skin of upper limb, including shoulder",1
172.22,Squamous cell carcinoma of other specified sites of skin,1
172.22,Squamous cell carcinoma of skin of lip,1
172.22,"Squamous cell carcinoma of skin, site unspecified",1
174.11,Malignant neoplasm of lower-inner quadrant of female breast,1
174.11,Malignant neoplasm of breast,1
174.11,Malignant neoplasm of lower-outer quadrant of female breast,1
174.11,Malignant neoplasm: Overlapping lesion of breast,1
174.11,Malignant neoplasm: Axillary tail of breast,1
174.11,Malignant neoplasm: Upper-outer quadrant of breast,1
174.11,Malignant neoplasm: Nipple and areola,1
174.11,Malignant neoplasm of female breast,1
174.11,Malignant neoplasm: Lower-outer quadrant of breast,1
174.11,Malignant neoplasm: Lower-inner quadrant of breast,1
174.11,Malignant neoplasm of central portion of female breast,1
174.11,Malignant neoplasm of other specified sites of female breast,1
174.11,Malignant neoplasm: Upper-inner quadrant of breast,1
174.11,Malignant neoplasm of axillary tail of female breast,1
174.11,Malignant neoplasm of upper-outer quadrant of female breast,1
174.11,Malignant neoplasm of nipple and areola of female breast,1
174.11,Malignant neoplasm: Central portion of breast,1
174.11,Malignant neoplasm of upper-inner quadrant of female breast,1
174.11,Personal history of malignant neoplasm of breast,1
174.11,"Malignant neoplasm of breast (female), unspecified",1
174.11,Personal history of malignant neoplasm of breast,1
174.11,"Malignant neoplasm: Breast, unspecified",1
174.2,Malignant neoplasm of nipple and areola of male breast,2
174.2,Malignant neoplasm of male breast,2
174.2,Malignant neoplasm of other and unspecified sites of male breast,2
230,"Kaposi's sarcoma, skin",3
230,Kaposi's sarcoma,3
230,"Kaposi's sarcoma, lung",3
230,"Kaposi's sarcoma, lymph nodes",3
230,Kaposi sarcoma of multiple organs,3
230,HIV disease resulting in Kaposi sarcoma,3
230,Kaposi sarcoma of skin,3
230,Kaposi sarcoma of lymph nodes,3
230,"Kaposi's sarcoma, other specified sites",3
230,Kaposi sarcoma of other sites,3
230,"Kaposi's sarcoma, gastrointestinal sites",3
230,Kaposi sarcoma,3
230,"Kaposi's sarcoma, palate",3
230,Kaposi sarcoma of soft tissue,3
230,Kaposi sarcoma of palate,3
230,"Kaposi's sarcoma, soft tissue",3
230,"Kaposi sarcoma, unspecified",3
230,Kaposi's sarcoma NOS,3
182,Malignant neoplasm: Isthmus uteri,3
182,Malignant neoplasm of other specified sites of body of uterus,3
182,"Malignant neoplasm: Corpus uteri, unspecified",3
182,"Malignant neoplasm of uterus, part unspecified",3
182,Personal history of malignant neoplasm of other parts of uterus,3
182,Malignant neoplasm of body of uterus,3
182,Malignant neoplasm: Myometrium,3
182,Malignant neoplasm: Endometrium,3
182,Malignant neoplasm of isthmus,3
182,Carcinoma in situ: Endometrium,3
182,Carcinoma in situ of other and unspecified parts of uterus,3
182,Malignant neoplasm: Overlapping lesion of corpus uteri,3
182,Malignant neoplasm: Fundus uteri,3
182,"Malignant neoplasm of corpus uteri, except isthmus",3
182,Malignant neoplasm of corpus uteri,3
182,"Malignant neoplasm of uterus, part unspecified",3
180,Malignant neoplasm of cervix uteri,3
180.1,Malignant neoplasm: Endocervix,2
180.1,"Malignant neoplasm of cervix uteri, unspecified",2
180.1,Malignant neoplasm of cervix uteri,2
180.1,Malignant neoplasm: Overlapping lesion of cervix uteri,2
180.1,"Malignant neoplasm: Cervix uteri, unspecified",2
180.1,Malignant neoplasm of exocervix,2
180.1,Malignant neoplasm of endocervix,2
180.1,Malignant neoplasm: Exocervix,2
180.1,Malignant neoplasm of other specified sites of cervix,2
180.1,Personal history of malignant neoplasm of cervix uteri,2
184.1,Malignant neoplasm of placenta,2
184.1,"Malignant neoplasm of uterine adnexa, unspecified",2
184.1,"Malignant neoplasm: Uterine adnexa, unspecified",2
184.1,Malignant neoplasm of other specified sites of female genital organs,2
184.1,Malignant neoplasm of other and unspecified female genital organs,2
184.1,Malignant neoplasm: Round ligament,2
184.1,Malignant neoplasm: Overlapping lesion of female genital organs,2
184.1,Malignant neoplasm of broad ligament of uterus,2
184.1,Malignant neoplasm of ovary and other uterine adnexa,2
184.1,Malignant neoplasm of parametrium,2
184.1,Malignant neoplasm: Broad ligament,2
184.1,Malignant neoplasm of other specified sites of uterine adnexa,2
184.1,Malignant neoplasm of round ligament of uterus,2
184.1,Malignant neoplasm: Fallopian tube,2
184.1,Personal history of malignant neoplasm of unspecified female genital organ,2
184.1,Malignant neoplasm: Parametrium,2
184.1,Malignant neoplasm of placenta,2
184.1,"Malignant neoplasm: Female genital organ, unspecified",2
184.1,Personal history of malignant neoplasm of other female genital organs,2
184.1,Malignant neoplasm: Other specified female genital organs,2
184.1,"Malignant neoplasm of female genital organ, site unspecified",2
184.1,Malignant neoplasm of other and unspecified female genital organs,2
184.1,Malignant neoplasm of fallopian tube,2
184.1,Malignant neoplasm: Overlapping lesion of vulva,2
184.11,Malignant neoplasm of ovary,1
184.11,Personal history of malignant neoplasm of ovary,1
184.11,Malignant neoplasm of ovary,1
184.2,Malignant neoplasm: Labium minus,2
184.2,Malignant neoplasm of vagina,2
184.2,Neoplasm of uncertain or unknown behaviour of female genital organs,2
184.2,Carcinoma in situ of unspecified female genital organ,2
184.2,Malignant neoplasm of vagina,2
184.2,Carcinoma in situ of other and unspecified female genital organs,2
184.2,Carcinoma in situ of vagina,2
184.2,Carcinoma in situ: Vulva,2
184.2,"Dysplasia of vulva, unspecified",2
184.2,Neoplasm of uncertain behavior of placenta,2
184.2,Malignant neoplasm of labia minora,2
184.2,Neoplasm of uncertain behavior of other and unspecified female genital organs,2
184.2,"Malignant neoplasm of vulva, unspecified",2
184.2,Neoplasm of uncertain or unknown behaviour: Placenta,2
184.2,Carcinoma in situ of vulva,2
184.2,Malignant neoplasm of vulva,2
184.2,Malignant neoplasm of clitoris,2
184.2,Malignant neoplasm: Clitoris,2
184.2,Neoplasm of uncertain or unknown behaviour: Uterus,2
184.2,Carcinoma in situ of other female genital organ,2
184.2,Neoplasm of uncertain behavior of uterus,2
184.2,"Neoplasm of uncertain or unknown behaviour: Female genital organ, unspecified",2
184.2,Carcinoma in situ: Vagina,2
184.2,Carcinoma in situ: Other and unspecified female genital organs,2
184.2,Malignant neoplasm: Labium majus,2
184.2,"Malignant neoplasm: Vulva, unspecified",2
184.2,Malignant neoplasm of labia majora,2
185,Personal history of malignant neoplasm of prostate,3
185,Malignant neoplasm of prostate,3
185,Carcinoma in situ: Prostate,3
185,Malignant neoplasm of prostate,3
185,Carcinoma in situ of prostate,3
187.2,Malignant neoplasm: Undescended testis,2
187.2,Personal history of malignant neoplasm of testis,2
187.2,"Malignant neoplasm: Testis, unspecified",2
187.2,Malignant neoplasm of testis,2
187.2,Malignant neoplasm: Descended testis,2
187.2,Malignant neoplasm of testis,2
187.2,Malignant neoplasm of other and unspecified testis,2
187.2,Malignant neoplasm of undescended testis,2
187,Carcinoma in situ of other and unspecified male genital organs,3
187,Lobular carcinoma in situ,3
187,Carcinoma in situ: Penis,3
187,Personal history of malignant neoplasm of epididymis,3
187,Malignant neoplasm of penis and other male genital organs,3
187,Carcinoma in situ: Other and unspecified male genital organs,3
187,Carcinoma in situ of penis,3
187.1,Malignant neoplasm of other specified sites of male genital organs,2
187.1,Malignant neoplasm: Glans penis,2
187.1,Malignant neoplasm of penis,2
187.1,Personal history of malignant neoplasm of unspecified male genital organ,2
187.1,Malignant neoplasm: Prepuce,2
187.1,Malignant neoplasm of epididymis,2
187.1,Malignant neoplasm: Epididymis,2
187.1,Malignant neoplasm: Body of penis,2
187.1,Malignant neoplasm: Overlapping lesion of penis,2
187.1,"Malignant neoplasm of male genital organ, site unspecified",2
187.1,Malignant neoplasm: Overlapping lesion of male genital organs,2
187.1,Malignant neoplasm of scrotum,2
187.1,"Malignant neoplasm: Male genital organ, unspecified",2
187.1,"Malignant neoplasm of penis, part unspecified",2
187.1,Malignant neoplasm of other and unspecified male genital organs,2
187.1,Malignant neoplasm: Scrotum,2
187.1,Malignant neoplasm of body of penis,2
187.1,Malignant neoplasm: Spermatic cord,2
187.1,Malignant neoplasm of prepuce,2
187.1,"Malignant neoplasm: Penis, unspecified",2
187.1,Personal history of malignant neoplasm of other male genital organs,2
187.1,Malignant neoplasm: Other specified male genital organs,2
187.1,Malignant neoplasm of glans penis,2
187.1,Malignant neoplasm of spermatic cord,2
189.21,Malignant neoplasm: Urachus,1
189.21,"Malignant neoplasm: Bladder, unspecified",1
189.21,Malignant neoplasm of urachus,1
189.21,Malignant neoplasm: Bladder neck,1
189.21,Malignant neoplasm: Trigone of bladder,1
189.21,Malignant neoplasm of bladder,1
189.21,Malignant neoplasm of trigone of urinary bladder,1
189.21,Malignant neoplasm: Dome of bladder,1
189.21,Malignant neoplasm: Posterior wall of bladder,1
189.21,Malignant neoplasm: Overlapping lesion of bladder,1
189.21,Personal history of malignant neoplasm of bladder,1
189.21,Malignant neoplasm of dome of urinary bladder,1
189.21,Malignant neoplasm of bladder,1
189.21,Malignant neoplasm of ureteric orifice,1
189.21,Malignant neoplasm: Ureteric orifice,1
189.21,"Malignant neoplasm of bladder, part unspecified",1
189.21,Malignant neoplasm: Lateral wall of bladder,1
189.21,Malignant neoplasm: Anterior wall of bladder,1
189.21,Malignant neoplasm of bladder neck,1
189.21,Malignant neoplasm of anterior wall of urinary bladder,1
189.21,Malignant neoplasm of posterior wall of urinary bladder,1
189.21,Malignant neoplasm of lateral wall of urinary bladder,1
189.21,Malignant neoplasm of other specified sites of bladder,1
189.4,Malignant neoplasm of kidney and other and unspecified urinary organs,2
189.4,Personal history of malignant neoplasm of other urinary organs,2
189.4,Malignant neoplasm: Paraurethral gland,2
189.4,Malignant neoplasm: Overlapping lesion of urinary organs,2
189.4,"Malignant neoplasm: Urinary organ, unspecified",2
189.4,Malignant neoplasm of urethra,2
189.4,Malignant neoplasm of paraurethral glands,2
189.4,Personal history of malignant neoplasm of urinary organs,2
189.4,Malignant neoplasm of other specified sites of urinary organs,2
189.4,Personal history of malignant neoplasm of unspecified urinary organ,2
189.4,Malignant neoplasm of ureter,2
189.4,"Malignant neoplasm of urinary organ, site unspecified",2
189.4,Malignant neoplasm of ureter,2
189.4,Malignant neoplasm: Urethra,2
189.4,Malignant neoplasm of other and unspecified urinary organs,2
189.11,"Malignant neoplasm of kidney, except pelvis",1
189.11,"Malignant neoplasm of kidney, except renal pelvis",1
189.12,Malignant neoplasm of renal pelvis,1
189.12,Malignant neoplasm of renal pelvis,1
189.12,Personal history of malignant neoplasm of renal pelvis,1
190,Carcinoma in situ of eye,3
190,Malignant neoplasm: Conjunctiva,3
190,Malignant neoplasm of orbit,3
190,Malignant neoplasm: Orbit,3
190,Malignant neoplasm: Cornea,3
190,"Malignant neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid",3
190,Malignant neoplasm of retina,3
190,Malignant neoplasm of other specified sites of eye,3
190,Malignant neoplasm: Overlapping lesion of eye and adnexa,3
190,Malignant neoplasm of eye and adnexa,3
190,Malignant neoplasm of conjunctiva,3
190,Malignant neoplasm: Retina,3
190,Carcinoma in situ: Eye,3
190,Malignant neoplasm of eye,3
190,"Malignant neoplasm: Eye, unspecified",3
190,Malignant neoplasm: Lacrimal gland and duct,3
190,Malignant neoplasm of lacrimal gland,3
190,Malignant neoplasm: Choroid,3
190,Malignant neoplasm of cornea,3
190,"Malignant neoplasm of eye, part unspecified",3
190,Malignant neoplasm of choroid,3
190,Malignant neoplasm: Ciliary body,3
190,Personal history of malignant neoplasm of eye,3
190,Malignant neoplasm of lacrimal duct,3
191.11,Malignant neoplasm: Overlapping lesion of brain,1
191.11,Malignant neoplasm: Occipital lobe,1
191.11,Malignant neoplasm: Cerebral ventricle,1
191.11,Malignant neoplasm: Cerebellum,1
191.11,Malignant neoplasm of cerebellum NOS,1
191.11,Malignant neoplasm of other parts of brain,1
191.11,Malignant neoplasm of frontal lobe,1
191.11,"Malignant neoplasm of cerebrum, except lobes and ventricles",1
191.11,Malignant neoplasm: Parietal lobe,1
191.11,Malignant neoplasm of brain,1
191.11,Malignant neoplasm of brain,1
191.11,"Malignant neoplasm: Cerebrum, except lobes and ventricles",1
191.11,Personal history of malignant neoplasm of brain,1
191.11,Malignant neoplasm of occipital lobe,1
191.11,Malignant neoplasm: Frontal lobe,1
191.11,Malignant neoplasm: Brain stem,1
191.11,"Malignant neoplasm of brain, unspecified",1
191.11,Malignant neoplasm of temporal lobe,1
191.11,Malignant neoplasm of parietal lobe,1
191.11,"Malignant neoplasm: Brain, unspecified",1
191.11,Malignant neoplasm of brain stem,1
191.11,Malignant neoplasm of ventricles,1
191.11,Malignant neoplasm: Temporal lobe,1
191.1,Malignant neoplasm: Spinal meninges,2
191.1,Malignant neoplasm: Acoustic nerve,2
191.1,Malignant neoplasm of other and unspecified parts of nervous system,2
191.1,Malignant neoplasm of meninges,2
191.1,Malignant neoplasm of cranial nerves,2
191.1,Malignant neoplasm: Overlapping lesion of brain and other parts of central nervous system,2
191.1,Malignant neoplasm of other specified sites of nervous system,2
191.1,Malignant neoplasm: Cauda equina,2
191.1,Malignant neoplasm of spinal cord,2
191.1,Malignant neoplasm: Optic nerve,2
191.1,Malignant neoplasm: Cerebral meninges,2
191.1,Malignant neoplasm of cerebral meninges,2
191.1,Malignant neoplasm: Other and unspecified cranial nerves,2
191.1,Malignant neoplasm: Spinal cord,2
191.1,Malignant neoplasm: Olfactory nerve,2
191.1,Malignant neoplasm of spinal meninges,2
191.1,"Malignant neoplasm: Meninges, unspecified",2
191.1,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",2
191.1,Personal history of malignant neoplasm of other parts of nervous system,2
191.1,"Malignant neoplasm: Central nervous system, unspecified",2
191.1,"Malignant neoplasm of nervous system, part unspecified",2
193,Personal history of malignant neoplasm of thyroid,3
193,Malignant neoplasm of thyroid gland,3
193,Malignant neoplasm of thyroid gland,3
194,Malignant neoplasm of aortic body and other paraganglia,3
194,Malignant neoplasm of pituitary gland and craniopharyngeal duct,3
194,Malignant neoplasm: Pituitary gland,3
194,Malignant neoplasm of parathyroid gland,3
194,Malignant neoplasm: Cortex of adrenal gland,3
194,Malignant neoplasm: Craniopharyngeal duct,3
194,Malignant neoplasm of other endocrine glands and related structures,3
194,Malignant neoplasm of pineal gland,3
194,"Malignant neoplasm: Adrenal gland, unspecified",3
194,Malignant neoplasm: Parathyroid gland,3
194,Malignant neoplasm of adrenal gland,3
194,Malignant neoplasm: Carotid body,3
194,"Malignant neoplasm: Pluriglandular involvement, unspecified",3
194,Malignant neoplasm: Aortic body and other paraganglia,3
194,"Malignant neoplasm: Endocrine gland, unspecified",3
194,Malignant neoplasm: Medulla of adrenal gland,3
194,Malignant neoplasm: Pineal gland,3
194,Malignant neoplasm of adrenal gland,3
194,Malignant neoplasm of other endocrine glands and related structures,3
194,Personal history of malignant neoplasm of other endocrine glands and related structures,3
194,Malignant neoplasm of other endocrine glands and related structures,3
194,"Malignant neoplasm of endocrine gland, site unspecified",3
194,Malignant neoplasm of carotid body,3
195.1,"Malignant neoplasm, without specification of site",2
195.1,Malignant neoplasm of upper limb,2
195.1,Malignant neoplasm of other and ill-defined sites: Overlapping lesion of other and ill-defined sites,2
195.1,Malignant neoplasm of other and ill-defined sites: Other ill-defined sites,2
195.1,Personal history of malignant neoplasm of genital organs,2
195.1,Personal history of malignant neoplasms of other organs and systems,2
195.1,Personal history of malignant neoplasm,2
195.1,Malignant neoplasm: Overlapping lesion of other and unspecified parts of mouth,2
195.1,Other malignant neoplasm of unspecified site,2
195.1,Personal history of malignant neoplasm of other sites,2
195.1,Malignant neoplasm of other and ill-defined sites: Pelvis,2
195.1,Malignant neoplasm of lower limb,2
195.1,Malignant neoplasm without specification of site,2
195.1,Malignant neoplasm of other and ill-defined sites: Abdomen,2
195.1,Personal history of malignant neoplasm,2
195.1,Malignant neoplasm of other and ill-defined sites: Upper limb,2
195.1,Personal history of malignant neoplasm of other sites,2
195.1,"Personal history of malignant neoplasm, unspecified",2
195.1,Personal history of unspecified type of malignant neoplasm,2
195.1,Mesothelioma of other sites,2
195.1,HIV disease resulting in multiple malignant neoplasms,2
195.1,Malignant neoplasms of independent (primary) multiple sites,2
195.1,Mesothelioma,2
195.1,"Mesothelioma, unspecified",2
195.1,Disseminated malignant neoplasm,2
195.1,Personal history of malignant neoplasm of genital organs,2
195.1,Malignant neoplasm of pelvis,2
195.1,Personal history of other neoplasms,2
195.1,Malignant neoplasm of other and ill-defined sites,2
195.1,Malignant neoplasm of abdomen,2
195.1,Personal history of malignant neuroendocrine tumor,2
195.1,Unspecified personal history of malignant neoplasm,2
195.1,Malignant neoplasm of other and ill-defined sites: Lower limb,2
195.1,Fracture of bone in neoplastic disease,2
195.1,Malignant neoplasm of other specified sites,2
