CPT code,String,Layer
90869,REPET TMS TX SUBSEQ MOTR THRESHLD W/DELIV & MN,1
93998,UNLISTED NONINVASIVE VASCULAR DIAGNOSTIC STUDY,1
94727,GAS DILUT/WASHOUT LUNG VOL W/WO DISTRIB VENT&V,1
1011F,ANGINA PRESENT,1
1181F,NEUROPSYCHIATRIC SYMPTS ASSESSED RESULTS REVIEWD,1
1182F,NEUROPSYCHIATRIC SYMPTOMS ONE OR MORE PRESENT,1
1451F,SYMPTOMS SHOW CLIN IMPRTNT DROP SINCE ASSESSMENT,1
4010F,ACE INHIBITOR/ARB THERAPY RXD/CURRENTLY TAKEN,1
4013F,STATIN THERAPY RXD/CURRENTLY TAKEN,1
4322F,CRGVR PROVIDED W/ED REFERRED ADDL RESOURCES,1
4500F,REFERRED TO OUTPT CARD REHABILITATION PROGRAM,1
4526F,NEUROPSYCHIATRIC INTERVENTION RECEIVED,1
6100F,VERIFY CORRECT PT SITE PXD DOCUMENTED,1
12015,SIMPLE REPAIR F/E/E/N/L/M 7.6CM-12.5 CM,1
12018,SIMPLE REPAIR F/E/E/N/L/M >30.0 CM,1
12032,REPAIR INTERMEDIATE S/A/T/E 2.6-7.5 CM,1
12057,REPAIR INTERMEDIATE F/E/E/N/L&/MUC >30.0 CM,1
13131,REPAIR COMPLEX F/C/C/M/N/AX/G/H/F 1.1-2.5 CM,1
13152,REPAIR COMPLEX EYELID/NOSE/EAR/LIP 2.6-7.5 CM,1
14021,ADJT/REARRGMT SCALP/ARM/LEG 10.1-30.0 SQ CM,1
14301,ADJNT TIS TRNSFR/REARGMT ANY AREA 30.1-60 SQ CM,1
15572,FRMJ DIRECT/TUBE PEDICLE W/WO TR SCALP ARMS/LEGS,1
15574,FRMJ DIR/TUBE PEDCL W/WOTR FH/CH/CH/M/N/AX/G/H/F,1
15775,PUNCH GRAFT HAIR TRANSPLANT 1-15 PUNCH GRAFTS,1
15783,DERMABRASION SUPERFICIAL ANY SITE,1
15842,GRF FACIAL NRV PALYSS FR MUSCLE FLAP MICROSURG,1
15877,SUCTION ASSISTED LIPECTOMY TRUNK,1
20553,INJECTION SINGLE/MLT TRIGGER POINT 3/> MUSCLES,1
21150,RCNSTJ MIDFACE LEFORT II ANTERIOR INTRUSION,1
21346,OPTX NASOMAX CPLX FX LEFT II TYPE W/WIRG & FXJ,1
21347,OPTX NASOMAX CPLX FX LEFT II TYPE REQ MLT OPN,1
21407,OPEN TX FX ORBIT EXCEPT BLOWOUT W/IMPLANT,1
21408,OPEN TX FX ORBIT EXCEPT BLOWOUT W/BONE GRAFT,1
33362,REPLACE AORTIC VALVE OPENFEMORAL ARTERY APPROACH,1
33993,REPOSITION VAD W/IMAGING DIFFERENT SESSION,1
35508,BYPASS W/VEIN CAROTID-VERTEBRAL,1
35521,BYPASS W/VEIN AXILLARY-FEMORAL,1
35526,BYPASS W/VEIN AORTOSUBCLAV/CAROTID/INNOMINATE,1
35601,BYP OTH/THN VEIN COMMON-IPSILATERAL CAROTID,1
35634,BYPASS GRAFT W/OTHER THAN VEIN ILIORENAL,1
35646,BYP OTH/THN VEIN AORTOBIFEMORAL,1
63012,LAMINECTOMY W/RMVL ABNORMAL FACETS LUMBAR,1
63250,LAM EXC/OCCLUSION AVM SPINAL CORD CERVICAL,1
63267,LAM EXC/EVAC ISPI LESION OTH/THN NEO XDRL LUMBAR,1
63271,LAM EXC ISPI LES OTH/THN NEO IDRL THORACIC,1
63272,LAM EXC ISPI LES OTH/THN NEO IDRL LUMBAR,1
63277,LAMINECTOMY BX/EXC ISPI NEO XDRL LUMBAR,1
70100,RADIOLOGIC EXAMINATION MANDIPLE PRTL <4 VIEWS,1
70553,MRI BRAIN BRAIN STEM W/O W/CONTRAST MATERIAL,1
72020,RADEX SPINE 1 VIEW SPECIFY LEVEL,1
75600,AORTOGRAPHY THORACIC W/O SERIALOGRAPHY RS&I,1
81253,GJB2 GENE ANALYSIS KNOWN FAMILIAL VARIANTS,1
81510,FETAL CONGENITAL ABNOR ASSAY THREE ANAL,1
85290,CLOTTING FACTOR XIII FIBRIN STABILIZING,1
85306,CLOTTING INHIBITORS PROTEIN S FREE,1
85390,FIBRINOLYSINS/COAGULOPATHY SCREEN INTERP&REPOR,1
86000,AGGLUTININS FEBRILE EACH ANTIGEN,1
86077,BLD BANK PHYS SVCS DIFFC CROSS MATCH&/EVAL REP,1
86078,BLD BANK PHYS SVCS INVSTGJ TFUJ RXN REPRT,1
86707,HEPATITIS BE ANTIBODY HBEAB,1
86833,ANTIBODY HLA CLASS II HIGH DEFINITION PANEL QUAL,1
87535,IADNA HIV-1 AMPLIFIED PROBE & REVERSE TRANSCRPJ,1
87633,IADNA RESPIRATRY PROBE & REV TRNSCR 12-25 TARGET,1
87906,NFCT GEXYP DNA/RNA HIV 1 OTHER REGION,1
90792,PSYCHIATRIC DIAGNOSTIC EVAL W/MEDICAL SERVICES,1
90953,ESRD RELATED SVC MONTHLY <2 YR OLD 1 VISIT,1
92315,RX CONTACT CORNEAL LENS APHAKIA 1 EYE,1
92920,PRQ TRLUML CORONARY ANGIOPLASTY ONE ART/BRANCH,1
93886,TRANSCRANIAL DOPPLER STDY INTRACRANIAL ART COMPL,1
94729,CO DIFFUSING CAPACITY,1
95024,INTRACUTANEOUS TESTS W/ALLERGENIC EXTRACTS,1
95783,POLYSOM <6 YRS SLEEP W/CPAP/BILVL VENT 4/> PARAM,1
95922,TSTG ANS FUNCJ VASOMOTOR ADRENERGIC INNERVAJ,1
95943,PARASYMP & SYMP NRV FUNCJ HRT RATE VARIABILITY,1
96922,LASER SKIN DISEASE PSORIASIS >500 SQ CM,1
97140,MANUAL THERAPY TQS 1/> REGIONS EACH 15 MINUTES,1
97598,DEBRIDEMENT OPEN WOUND EACH ADDITIONAL 20 SQ CM,1
99444,PHYS/QHP ONLINE EVALUATION & MANAGEMENT SERVICE,1
1137F,EPISODE BACK PAIN LASTING >12 WKS,1
3040F,FUNCTIONAL EXPIRATORY VOLUME < 40%,1
3281F,HEMOGLOBIN LEVEL <11 G/DL,1
3322F,MELANOMA THAN AJCC STAGE 0,1
4069F,VENOUS THROMBOEMBOLISM (VTE) PROPHYLAXIS RCVD,1
4242F,TLK RE SPRVSD XRCS PROG TO PTS BACK PN >12WKS,1
0298T,EXT ECG > 48HR TO 21 DAY REVIEW AND INTERPRETATN,1
11305,SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.5 CM/<,1
11311,SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 0.6-1.0 CM,1
11313,SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM >2.0 CM,1
11406,EXC B9 LESION MRGN XCP SK TG T/A/L >4.0 CM,1
11426,EXC B9 LESION MRGN XCP SK TG S/N/H/F/G > 4.0CM,1
11719,TRIMMING NONDYSTROPHIC NAILS ANY NUMBER,1
11951,SUBCUTANEOUS INJECTION FILLING MATRL 1.1-5.0 CC,1
12005,SMPL RPR SCALP/NECK/AX/GENIT/TRUNK 12.6-20.0CM,1
12016,SIMPLE REPAIR F/E/E/N/L/M 12.6CM-20.0 CM,1
12042,REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.6-7.5 CM,1
12053,REPAIR INTERMEDIATE F/E/E/N/L&/MUC 5.1-7.5 CM,1
13100,REPAIR COMPLEX TRUNK 1.1-2.5 CM,1
15600,DELAY FLAP/SECTIONING FLAP TRUNK,1
21011,EXCISION TUMOR SOFT TISS FACE/SCALP SUBQ <2CM,1
21160,RCNSTJ MIDFACE LEFORT III W/FHD W/LEFORT I,1
21320,CLOSED TREATMENT NASAL FRACTURE W/STABILIZATION,1
21325,OPEN TREATMENT NASAL FRACTURE UNCOMPLICATED,1
21336,OPEN TX NASAL SEPTAL FRACTURE W/WO STABILIZATION,1
21348,OPTX NASOMAX CPLX FX LEFT II TYPE W/BONE GRAFT,1
22315,CLTX VRT FX&/DISLC CSTING/BRACING MANJ/TRCJ,1
32556,PERQ DRAINAGE PLEURA INSERT CATH W/O IMAGING,1
33365,REPLACE AORTIC VALVE OPEN TRANSAORTIC APPROACH,1
33368,REPLACE AORTIC VALVE W/BYP OPEN ART/VENOUS APRCH,1
33990,INSJ PERQ VAD W/IMAGING ARTERY ACCESS ONLY,1
35512,BYPASS W/VEIN SUBCLAVIAN-BRACHIAL,1
35515,BYPASS W/VEIN SUBCLAVIAN-VERTEBRAL,1
35522,BYPASS W/VEIN AXILLARY-BRACHIAL,1
35537,BYPASS W/VEIN AORTOILIAC,1
35538,BYPASS W/VEIN AORTOBI-ILIAC,1
35626,BYPASS NOT VEIN AORTOSUBCLA/CAROTID/INNOMINATE,1
35636,BYP OTH/THN VEIN SPLENORENAL,1
35647,BYP OTH/THN VEIN AORTOFEMORAL,1
35683,BYP AUTOG COMPOSIT 3/> SEG FROM 2/> LOCATION,1
35694,TRPOS&/RIMPLTJ SUBCLAVIAN CAROTID ART,1
35695,TRPOS&/RIMPLTJ CAROTID SUBCLAVIAN ART,1
36224,SLCTV CATH INTRNL CAROTID ART ANGIO INTRCRNL ART,1
37213,THROMBOLYSIS ART/VENOUS INFSN W/IMAGE SUBSQ TX,1
63001,LAM W/O FACETEC FORAMOT/DSKC 1/2 VRT SEG CRV,1
63003,LAMINECTOMY W/O FFD 1/2 VERT SEG THORACIC,1
63011,LAMINECTOMY W/O FFD 1/2 VERT SEG SACRAL,1
63015,LAMINECTOMY W/O FFD > 2 VERT SEG CERVICAL,1
63046,LAM FACETECTOMY & FORAMOTOMY 1 SEGMENT THORACIC,1
63101,VERTEB CORPECT LAT XTRCAVITARY DCMPRN THRC 1 SEG,1
63194,LAM CORDOTOMY SCTJ 1 SPINOTHALMIC TRACT CERVICAL,1
63196,LAM CORDOTOMY SCTJ BOTH SPINOTHALMIC TRACTS CRV,1
63290,LAM BX/EXC ISPI NEO XDRL-IDRL LES ANY LVL,1
63300,VCRPEC LES 1 SGM XDRL CERVICAL,1
64823,SYMPATHECTOMY SUPERFICIAL PALMAR ARCH,1
64897,NERVE GRAFT MLT STRANDS ARM/LEG </4 CM,1
67810,INCISIONAL BIOPSY EYELID SKIN & LID MARGIN,1
70110,RADIOLOG EXAM MANDIBLE COMPL MINIMUM 4 VIEWS,1
72052,RADEX SPINE CERVICAL 6 OR MORE VIEWS,1
72114,RADEX SPINE LUMBSCRL COMPL W/BENDING VIEWS MIN 6,1
72255,MYELOGRAPHY THORACIC RS&I,1
75605,AORTOGRAPHY THORACIC SERIALOGRAPHY RS&I,1
75885,PRQ TRANSHEPATC PORTOGRAPY HEMODYN EVAL RS&I,1
75887,PRQ TRANSHEPATC PORTOGRAPY W/O HEMODYN EVL INTRP,1
78071,PARATHYROID PLANAR IMAGING W/WO SUBTRACTION,1
81203,APC GENE ANALYSIS DUPLICATION/DELETION VARIANTS,1
81509,FETAL CONGENITAL ABNOR ASSAY 3 PROTEINS,1
82985,ASSAY OF GLYCATED PROTEIN,1
83002,GONADOTROPIN LUTEINIZING HORMONE,1
85303,CLOTTING INHIBITORS PROTEIN C ACTIVITY,1
85347,COAGULATION TIME ACTIVATED,1
86664,ANTIBODY EPSTEIN-BARR EB VIRUS NUCLEAR AG EBNA,1
86695,ANTIBODY HERPES SMPLX TYPE 1,1
86696,ANTIBODY HERPES SMPLX TYPE 2,1
86698,ANTIBODY HISTOPLASMA,1
86702,ANTIBODY HIV-2,1
86835,ANTIBODY HLA CLASS II SEMIQUANTITATIVE PANEL,1
87539,IADNA HIV-2 QUANT & REVERSE TRANSCRIPTION,1
87912,NFCT AGENT GENOTYPE HEPATITIS B VIRUS,1
91038,ESOPHGL FUNCJ G-ESOP RFLX IMPD ELTRD PROLNG,1
92316,RX CONTACT CORNEAL LENS APHAKIA BOTH EYES,1
92352,FITTING SPECTACLE PROSTH APHAKIA MONOFOCAL,1
92924,PRQ TRLUML CORONARY ANGIO/ATHERECT ONE ART/BRNCH,1
92941,PRQ TRLUML CORONRY TOT OCCLUS REVASC MI ONE VSL,1
92973,PRQ TRANSLUMINAL CORONARY MECHANICL THROMBECTOMY,1
93653,EPHYS EVAL W/ABLATION SUPRAVENT ARRHYTHMIA,1
93654,EPHYS EVAL W/ABLATION VENTRICULAR TACHYCARDIA,1
93657,ABLATE L/R ATRIAL FIBRIL W/ISOLATED PULM VEIN,1
95079,INGESTION CHALLENGE TEST EACH ADDL 60 MINUTES,1
95132,PROF SVCS ALLG IMMNTX W/PRV XTRC 3 STING INSECT,1
95134,PROF SVCS ALLG IMMNTX W/PRV XTRC 5 STING INSECT,1
95923,TESTING AUTONOMIC NERVOUS SYSTEM FUNCTION,1
95924,TSTG ANS FUNCJ PARASYMP&SYMP W/5 MIN PASIVE TILT,1
98940,CHIROPRACTIC MANIPULATIVE TX SPINAL 1-2 REGIONS,1
99381,INITIAL PREVENTIVE MEDICINE NEW PATIENT <1YEAR,1
99496,TRANSITIONAL CARE MANAGE SRVC 7 DAY DISCHARGE,1
3022F,LEFT VENTRICULAR EJECTION FRACTION >/EQUAL 40%,1
3083F,KT/V EQUAL/>1.2 & <1.7,1
4142F,CORTICOSTEROID SPARING THERAPY PRESCRIBED,1
11420,EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 0.5 CM/<,1
11600,EXCISION MAL LESION TRUNK/ARM/LEG 0.5 CM/<,1
12004,SIMPLE RPR SCALP/NECK/AX/GENIT/TRUNK 7.6-12.5CM,1
12017,SIMPLE REPAIR F/E/E/N/L/M 20.1CM-30.0 CM,1
12044,REPAIR INTERMEDIATE N/H/F/XTRNL GENT 7.6-12.5CM,1
13101,REPAIR COMPLEX TRUNK 2.6-7.5 CM,1
13102,REPAIR COMPLEX TRUNK EACH ADDITIONAL 5 CM/<,1
13122,REPAIR COMPLEX SCALP/ARM/LEG EA ADDL 5 CM/<,1
13133,REPAIR COMPLEX F/C/C/M/N/AX/G/H/F EA ADDL 5 CM/<,1
14000,ADJACENT TISSUE TRANSFER/REARGMT TRUNK 10 SQCM/<,1
14061,ADJT TIS REARGMT EYE/NOSE/EAR/LIP 10.1-30.0 SQCM,1
15620,DELAY FLAP/SECTIONING FLAP F/C/C/N/AX/G/H/F,1
15750,FLAP NEUROVASCULAR PEDICLE,1
15776,PUNCH GRAFT HAIR TRANSPLANT >15 PUNCH GRAFTS,1
15840,GRAFT FACIAL NERVE PARALYSIS FREE FASCIAL GRAFT,1
21147,RCNSTJ MIDFACE LEFORT I 3/> PIECE W/BONE GRAFTS,1
21310,CLOSED TREATMENT NASAL FRACTURE W/O MANIPULATION,1
21355,PERCUTANEOUS TX MALAR AREA FRACTURE,1
21360,OPEN TX DEPRESSED MALAR FRACTURE,1
21395,OPTX ORB FLOOR BLWT FX PRI/BITAL APPR W/BONE GRF,1
22800,ARTHRODESIS POSTERIOR SPINAL DFRM UP 6 VRT SEG,1
22802,ARTHRODESIS POSTERIOR SPINAL DFRM 7-12 VRT SEG,1
23474,REVIS SHOULDER ARTHRPLSTY HUMERAL&GLENOID COMPNT,1
33364,REPLACE AORTIC VALVE OPEN ILIAC ARTERY APPROACH,1
35152,DIR RPR RUPTD ANEURYSM & GRF POPLITEAL ARTERY,1
35570,BYP TIBL-TIBL/PRONEAL-TIBL/TIBL/PRONEAL TRK-TIBL,1
35616,BYP OTH/THN VEIN SUBCLAVIAN-AXILLARY,1
35656,BYP OTH/THN VEIN FEMORAL-POPLITEAL,1
36222,SLCTV CATH CAROTID/INNOM ART ANGIO XTRCRANL ART,1
36228,SLCTV CATH INTRCRNL BRNCH ANGIO INTRL CAROT/VERT,1
36440,PUSH TRANSFUSION BLOOD 2 YR/UNDER,1
44705,PREPARE FECAL MICROBIOTA FOR INSTILLATION,1
63056,TRANSPEDICULAR DCMPRN SPINAL CORD 1 SEG LUMBAR,1
63090,VCRPEC TRANSPRTL/RPR DCMPRN THRC LMBR/SAC 1 SEG,1
63191,LAMINECTOMY W/SECTION SPINAL ACCESSORY NERVE,1
63200,LAMINECTOMY RELEASE TETHERED SPINAL CORD LUMBAR,1
63286,LAM BX/EXC ISPI NEO IDRL IMED THORACIC,1
63302,VCRPEC LES 1 SEG XDRL THRC THORACOLMBR,1
63303,VCRPEC LES 1 SEG XDRL LMBR/SAC TRANSPRTL/RPR,1
64896,NERVE GRAFT MLT STRANDS HAND/FOOT > 4 CM,1
64898,NERVE GRAFT MLT STRANDS ARM/LEG >4 CM,1
71100,RADEX RIBS UNILATERAL 2 VIEWS,1
72070,RADEX SPINE THORACIC 2 VIEWS,1
72220,RADEX SACRUM & COCCYX MINIMUM 2 VIEWS,1
74245,RADEX GI TRACT UPR W/SM INT W/MULT SERIAL IMAGES,1
75625,AORTOGRAPHY ABDOMINAL SERIALOGRAPHY RS&I,1
76376,3D RENDERING W/INTERP & POSTPROCESS SUPERVISION,1
78070,PARATHYROID PLANAR IMAGING,1
81252,GJB2 GENE ANALYSIS FULL GENE SEQUENCE,1
81254,GJB6 GENE ANALYSIS COMMON VARIANTS,1
81321,PTEN GENE ANALYSIS FULL SEQUENCE ANALYSIS,1
81325,PMP22 GENE ANALYSIS FULL SEQUENCE ANALYSIS,1
81599,UNLISTED MULTIANALYTE ASSAY ALGORITHMIC ANALYSIS,1
85244,CLOTTING FACTOR VIII RELATED ANTIGEN,1
85245,CLOTTING FACTOR VIII VW FACTOR RISTOCETIN COFACT,1
85260,CLOTTING FACTOR X STUART-PROWER,1
85348,COAGULATION TIME OTHER METHODS,1
85384,FIBRINOGEN ACTIVITY,1
85385,FIBRINOGEN ANTIGEN,1
86225,DNA ANTIBODY NATIVE/DOUBLE STRANDED,1
86652,ANTIBODY ENCEPHALITIS EASTERN EQUINE,1
86703,ANTIBODY HIV-1&HIV-2 SINGLE RESULT,1
86831,ANTIBODY HLA CLASS II PHENOTYPE PANEL QUAL,1
86977,PRETX SERUM RBC ANTB ID INCUBATION INHIBITORS EA,1
87071,CUL BACT QUAN AEROBIC ISOL XCPT UR BLOOD/STOOL,1
87521,IADNA HEPATITIS C AMPLIFIED PROBE&REVRSE TRANSCR,1
87632,IADNA RESPIRATRY PROBE & REV TRNSCR 6-11 TARGETS,1
90785,PSYCHOTHERAPY COMPLEX INTERACTIVE,1
90863,PHARMACOLOGIC MANAGEMENT W/PSYCHOTHERAPY,1
90952,ESRD RELATED SVC MONTHLY <2 YR OLD 2/3 VISITS,1
92317,RX CONTACT CORNEOSCLERAL LENS,1
92342,FITTING SPECTACLES XCPT APHAKIA MULTIFOCAL,1
92925,PRQ TRLUML CORONARY ANGIO/ATHEREC ADDL ART/BRNCH,1
92934,PRQ TRLUML CORONARY STENT/ATH/ANGIO ADDL BRANCH,1
95017,ALLG TSTG PERQ & IC VENOMS IMMED REACT W/I&R,1
95905,MOTOR &/SENS NRV CNDJ PRECONF ELTRD ARRAY LIMB,1
98926,OSTEOPATHIC MANIPULATIVE TX 3-4 BODY REGIONS,1
98942,CHIROPRACTIC MANIPULATIVE TX SPINAL 5 REGIONS,1
99070,SUPPLIES&MATERIALS ABOVE/BEYOND PROV BY PHYS/QHP,1
99174,INSTRUMENT BASED OCULAR SCR BI W/RMT ANAL & RPT,1
99442,PHYS/QHP TELEPHONE EVALUATION 11-20 MIN,1
99485,SUPERVISION INTERFACILITY TRANSPORT INIT 30 MIN,1
1136F,EPISODE BACK PAIN LASTING 12 WEEKS/<,1
3035F,OXYGEN SATUR </EQUAL 88%/PAO2 </EQUAL 55 MM,1
3050F,MOST RECENT LDL-C >/EQUAL 130 MG/DL,1
4240F,INSTR THER XRCS-DR FLLWUP PT EPSD BACK PN >12 WK,1
5010F,DILATED MACULAR/FUNDUS XM COMMUNJ TX PHYS/QHP,1
6150F,PT NOT RCVNG 1ST COURSE OF ANTI-TNF THERAPY,1
0316T,REPLACEMENT PULSE GENERATOR VAGUS NERVE,1
00542,ANES THORACOTOMY & THORACOSCOPY DECORTICATION,1
11200,REMOVAL SKN TAGS MLT FIBRQ TAGS ANY AREA UPW/15,1
11306,SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.6-1.0 CM,1
11400,EXC B9 LESION MRGN XCP SK TG T/A/L 0.5 CM/<,1
11440,EXC B9 LESION MRGN XCP SK TG F/E/E/N/L/M 0.5CM/<,1
11954,SUBCUTANEOUS INJECTION FILLING MATRL >10.0 CC,1
12001,SIMPLE REPAIR SCALP/NECK/AX/GENIT/TRUNK 2.5CM/<,1
12036,REPAIR INTERMEDIATE S/A/T/E 20.1-30.0 CM,1
12045,REPAIR INTERMEDIATE N/H/F/XTRNL GENT 12.6-20 CM,1
12046,RPR INTERMEDIATE N/H/F/XTRNL GENT 20.1-30.0 CM,1
13132,REPAIR COMPLEX F/C/C/M/N/AX/G/H/F 2.6-7.5 CM,1
14350,FILLETED FINGER/TOE FLAP W/PREPJ RECIPIENT SITE,1
15630,DELAY FLAP/SCTJ FLAP EYELIDS NOSE EARS/LIPS,1
15780,DERMABRASION TOTAL FACE,1
15838,EXC EXCSV SKIN & SUBQ TISSUE SUBMENTAL FAT PAD,1
15876,SUCTION ASSISTED LIPECTOMY HEAD & NECK,1
21145,RCNSTJ MIDFACE LEFORT I 1 PIECE W/BONE GRAFTS,1
21155,RCNSTJ MIDFACE LEFORT III W/LEFORT I,1
21340,PERCUTANEOUS TX NASOETHMOID COMPLEX FRACTURE,1
21343,OPEN TX DEPRESSED FRONTAL SINUS FRACTURE,1
21344,OPEN TX COMPLICATED FRONTAL SINUS FRACTURE,1
21365,OPEN TX COMP FX MALAR W/INTERNAL FX&MULT SURG,1
21386,OPEN TX ORBITAL FLOOR BLOWOUT FX PERIORBITAL,1
22310,CLTX VRT BDY FX W/O MANJ REQ&W/CSTING/BRACING,1
33363,REPLACE AORTIC VALVE OPEN AXILLRY ARTRY APPROACH,1
33991,INSJ PERQ VAD TRNSPTAL W/IMAGE ART&VENOUS ACCESS,1
35511,BYPASS W/VEIN SUBCLAVIAN-SUBCLAVIAN,1
35523,BYPASS W/VEIN BRACHIAL-ULNAR/-RADIAL,1
35533,BYPASS W/VEIN AXILLARY-FEMORAL-FEMORAL,1
35539,BYPASS W/VEIN AORTOFEMORAL,1
35558,BYPASS W/VEIN FEMORAL-FEMORAL,1
35587,IN-SITU VEIN BYP POP-TIBL PRONEAL,1
35623,BYP OTH/THN VEIN AXILLARY-POPLITEAL/-TIBIAL,1
35631,BYP OTH/THN VEIN AORTOCELIAC AORTOMSN AORTORNL,1
35638,BYP OTH/THN VEIN AORTOBI-ILIAC,1
35661,BYP OTH/THN VEIN FEMORAL-FEMORAL,1
35666,BYP OTH/THN VEIN FEM-ANT TIBL PST TIBL/PRONEAL,1
36223,SLCTV CATH CAROTID/INNOM ART ANGIO INTRCRANL ART,1
37214,CESSATION THROMBOLYTIC THER W/CATHETER REMOVAL,1
63081,VERTEBRAL CORPECTOMY ANT DCMPRN CERVICAL 1 SEG,1
63087,VCRPEC THORACOLMBR DCMPRN LWR THRC/LMBR 1 SEG,1
63190,LAMINECTOMY W/RHIZOTOMY > 2 SEGMENTS,1
63198,LAM CORDOTOMY SCTJ BOTH TRACTS 2 STAGES CERVICAL,1
63268,LAM EXC/EVAC ISPI LES OTH/THN NEO XDRL SACRAL,1
63278,LAMINECTOMY BX/EXC ISPI NEO XDRL SACRAL,1
64615,CHEMODERVATE FACIAL/TRIGEM/CERV MUSC MIGRAINE,1
64802,SYMPATHECTOMY CERVICAL,1
70543,MRI ORBIT FACE & NECK W/O & W/CONTRAST MATRL,1
70551,MRI BRAIN BRAIN STEM W/O CONTRAST MATERIAL,1
71120,RADEX STERNUM MINIMUM 2 VIEWS,1
72100,RADEX SPINE LUMBOSACRAL 2/3 VIEWS,1
72270,MYELOGRAPY 2/MORE REGIONS RS&I,1
78012,THYROID UPTAKE SINGLE/MULTIPLE QUANT MEASUREMENT,1
81511,FETAL CONGENITAL ABNOR ASSAY FOUR ANAL,1
81512,FETAL CONGENITAL ABNOR ASSAY FIVE ANAL,1
83001,GONADOTROPIN FOLLICLE STIMULATING HORMONE,1
85246,CLOTTING FACTOR VIII VW FACTOR ANTIGEN,1
85345,COAGULATION TIME LEE AND WHITE,1
86376,MICROSOMAL ANTIBODIES EACH,1
86654,ANTIBODY ENCEPHALITIS WESTRN EQUINE,1
86684,ANTIBODY HAEMOPHILUS INFLUENZA,1
86689,ANTIBODY HTLV/HIV ANTIBODY CONFIRMATORY TEST,1
86972,PRETX RBC ANTIBODY INCUBAT W/DENSITY GRAD SEP,1
86975,PRETX SERUM RBC ANTIBODY INCUBATION DRUGS EACH,1
87070,CUL BACT XCPT URINE BLOOD/STOOL AEROBIC ISOL,1
87902,NFCT AGNT GENOTYP NUCLEIC ACID HEPATITIS C VIRUS,1
88375,OPTICAL ENDOMICROSCOPIC IMAGE INTERP & REPORT,1
90951,ESRD RELATED SVC MONTHLY & <2 YR OLD 4/> VISITS,1
91112,GI TRANSIT & PRES MEAS WIRELESS CAPSULE W/INTERP,1
92012,OPHTH MEDICAL XM&EVAL INTERMEDIATE ESTAB PT,1
92604,ANALYSIS COCHLEAR IMPLT 7 YR/> SBSQ REPRGRMG,1
92933,PRQ TRLUML CORONRY STENT/ATH/ANGIO ONE ART/BRNCH,1
92937,PRQ TRLUML CORONARY BYP GRFT REVASC ONE VESSEL,1
92944,PRQ TRLUML CORONRY CHRNIC OCCLUS REVASC ADDL VSL,1
93882,DUPLEX SCAN EXTRACRANIAL ART UNI/LMTD STUDY,1
95028,IC TSTS W/ALLGIC XTRCS DLYD TYP RXN W/READING,1
95125,PROF SVCS ALLG IMMNTX W/PRV ALLGIC XTRC 2/> NJX,1
95133,PROF SVCS ALLG IMMNTX W/PRV XTRC 4 STING INSECT,1
97606,NEGATIVE PRESSURE WOUND THERAPY DME >50 SQ CM,1
98928,OSTEOPATHIC MANIPULATIVE TX 7-8 BODY REGIONS,1
98941,CHIROPRACTIC MANIPULATIVE TX SPINAL 3-4 REGIONS,1
98943,CHIROPRACTIC MANIPLTV TX EXTRASPINAL 1/> REGION,1
99002,HANDLE/CONVEY/ANY OTH SVC DEVICE FIT PHYS/QHP,1
99391,PERIODIC PREVENTIVE MED ESTABLISHED PATIENT <1Y,1
3042F,FUNCTJL EXPIR VOLUME >/EQUAL 40% PREDICTED VALUE,1
3077F,MOST RECENT SYSTOLIC BLOOD PRES>/EQUAL 140 MM HG,1
3078F,MOST RECENT DIASTOLIC BLOOD PRESSURE < 80 MM HG,1
3080F,MOST RECENT DIASTOL BLOOD PRES >/EQUAL 90 MM HG,1
4175F,CORRECT VISUAL ACUIT 20/40/> W/IN 90 DAYS SURG,1
0308T,INSJ OC TLSCP PROSTH RMVL CRYSTALLINE/IO LENS,1
0317T,ELEC ALYS NSTIM PLS GEN VAGUS NRV W/REPRGRMG,1
11301,SHVG SKIN LESION 1 TRUNK/ARM/LEG DIAM 0.6-1.0 CM,1
11606,EXCISION MALIGNANT LESION TRUNK/ARM/LEG > 4.0 CM,1
11920,TATTOOING INCL MICROPIGMENTATION 6.0 CM/<,1
11952,SUBCUTANEOUS INJECTION FILLING MATRL 5.1-10.0CC,1
14001,ADJNT TIS TRANSFR/REARRANGE TRUNK 10.1-30.0 SQCM,1
14041,ADJT/REARGMT F/C/C/M/N/AX/G/H/F 10.1-30.0 SQ CM,1
15570,FRMJ DIRECT/TUBED PEDICLE W/WO TRANSFER TRUNK,1
15833,EXCISION EXCESSIVE SKIN & SUBQ TISSUE LEG,1
15835,EXCISION EXCESSIVE SKIN & SUBQ TISSUE BUTTOCK,1
15841,GRAFT FACIAL NERVE PARALYSIS FREE MUSCLE GRAFT,1
21385,OPEN TX ORBITAL FLOOR BLOWOUT FX TRANSANTRAL,1
21390,OPTX ORB FLOOR BLWT FX PRI/BITAL APPR W/ALLPLSTC,1
