CPT code,String
33270,INS/RPLCMNT PERM SUBQ IMPLTBL DFB W/SUBQ ELTRD
33953,ECMO/ECLS INSJ OF PRPH CANNULA BIRTH-5 YRS OPEN
33985,ECMO/ECLS REMOVAL OF CENTRAL CANNULA BIRTH-5 YRS
45349,SGMDSC FLX WITH ENDOSCOPIC MUCOSAL RESECTION
45350,SIGMOIDOSCOPY FLX WITH WITH BAND LIGATION(S)
45385,COLSC FLX W/RMVL OF TUMOR POLYP LESION SNARE TQ
46601,ANOSCOPY DX W/HRA &CHEM AGNTS ENHANCEMENT
77316,BRACHYTX ISODOSE PLN SMPL W/DOSIMETRY CAL
77318,BRACHYTX ISODOSE PLN CPLX W/DOSIMETRY CAL
80332,ANTIDEPRESSANTS SEROTONERGIC CLASS 1 OR 2
80333,ANTIDEPRESSANTS SEROTONERGIC CLASS 3-5
80343,ANTIPSYCHOTICS NOT OTHERWISE SPECIFIED 4-6
80354,DRUG SCREENING FENTANYL
80374,DRUG SCREEN STEREOISOMER ANALYSIS 1 DRUG CLASS
81426,GENOME SEQUENCE ANALYSIS EACH COMPARATOR GENOME
81450,GEN SEQ ANALYS HEMATOLYMPHOID NEO 5-50 GENE
81465,WHOLE MITOCHONDRIAL GENOME ANALYSIS PANEL
81471,X-LINKED INTELLECTUAL DBLT DUP/DEL GENE ANALYS
88377,M/PHMTRC ALYS ISH QUANT/SEMIQ MNL EACH MULTIPRB
93289,INTERROG EVAL F2F 1/DUAL/MLT LEADS IMPLTBL DFB
99489,CMPLX CHRON CARE MGMT EA ADDL 30 MIN PER MONTH
99497,ADVANCE CARE PLANNING FIRST 30 MINS
4556F,PT SHOWS 3+RISK FACTORS POST-OP NAUSEA&VOMITING
0072T,US ABLATJ UTERINE LEIOMYOMAT >/EQUAL 200 CC TISS
0347T,PLACE INTERSTITIAL DEVICE(S) IN BONE FOR RSA
19083,BX BREAST W/DEVICE 1ST LESION ULTRASOUND GUID
21811,OPEN TX RIB FX W/FIXJ THORACOSCOPIC VIS 1-3 RIBS
33418,TCAT MITRAL VALVE REPAIR INITIAL PROSTHESIS
33948,ECMO/ECLS DAILY MANAGEMENT EACH DAY VENO-VENOUS
33957,ECMO/ECLS REPOS PERIPH CANNULA PERQ BIRTH-5 YRS
44402,COLONOSCOPY STOMA W/ENDOSCOPIC STENT PLCMT
45386,COLSC FLEXIBLE W/TRANSENDOSCOPIC BALLOON DILAT
45388,COLONOSCOPY FLX ABLATION TUMOR POLYP/OTHER LES
45390,COLONOSCOPY FLX W/ENDOSCOPIC MUCOSAL RESECTION
45393,COLONOSCOPY FLEXIBLE WITH DECOMPRESSION
47383,ABLATION 1/> LIVER TUMOR PERQ CRYOABLATION
52442,CYSTO INSERTION TRANSPROSTATIC IMPLANT EA ADDL
62304,MYELOGRAPHY VIA LUMBAR INJECT RS&I LUMBOSACRAL
64486,TAP BLOCK UNILATERAL BY INJECTION(S)
64488,TAP BLOCK BILATERAL BY INJECTION(S)
66184,REVJ SHUNT EXTRAOCULAR RESERVOIR W/O GRAFT
80162,DRUG SCREEN QUANTITATIVE DIGOXIN TOTAL
80165,DRUG SCREEN QUANT DIPROPYLACETIC ACID FREE
80320,DRUG SCREEN QUANTITATIVE ALCOHOLS
80334,ANTIDEPRESSANTS SEROTONERGIC CLASS 6 OR MORE
80337,ANTIDEPRESSANTS TRICYCLIC OTHER CYCLICALS 6/MORE
80356,DRUG SCREENING HEROIN METABOLITE
80358,DRUG SCREENING METHADONE
80368,DRUG SCREENING SEDATIVE HYPNOTICS
81460,WHOLE MITOCHONDRIAL GENOME
93282,PRGRMNG DEV EVAL IMPLANTABLE IN PERSN 1 LD DFB
93283,PRGRMG EVAL IMPLANTABLE IN PRSN DUAL LEAD DFB
93287,PERI-PX DEV EVAL & PROG SING/DUAL/MULTI LEAD DFB
93644,EPHYS EVAL SUBQ IMPLANTABLE DEFIBRILLATOR
96110,DEVELOPMENTAL SCREEN W/SCORING & DOC STD INSTRM
96127,BEHAV ASSMT W/SCORE & DOCD/STAND INSTRUMENT
99498,ADVANCE CARE PLANNING EA ADDL 30 MINS
1500F,SYMP&SIGN DISTAL SYMM POLYNEUROPATHY REVWD&DOCD
3760F,PT W/DYSPHAG/WT LOSS/IMPAIRED NUTRITION
0350T,RADIOSTEREOMETRIC ANALYSIS LOWER EXTREMITY EXAM
0358T,BIA WHOLE BODY COMPOSITION ASSESSMENT W/I&R
0377T,ANOSCOPY W/BULKING AGENT INJ FOR FECAL INCONT
33244,RMVL1/DUAL CHMBR IMPLTBL DFB ELTRD TRANSVNS XTRJ
33262,RMVL IMPLTBL DFB PLSE GEN W/REPL PLSE GEN 1 LEAD
33419,TCAT MITRAL VALVE REPAIR ADDL PROSTHESIS
33956,ECMO/ECLS INSJ OF CENTRAL CANNULA 6 YRS & OLDER
33958,ECMO/ECLS REPOS PERPH CANNULA PRQ 6 YRS & OLDER
33966,ECMO/ECLS RMVL OF PRPH CANNULA PRQ 6 YRS & OLDER
45382,COLSC FLEXIBLE W/CONTROL BLEEDING ANY METHOD
46600,ANOSCOPY DX W/COLLJ SPEC BR/WA SPX WHEN PRFRMD
77062,DIGITAL BREAST TOMOSYNTHESIS BILATERAL
77086,VERTEBRAL FRACTURE ASSESSMENT VIA DXA
77307,TELETHX ISODOSE PLN CPLX W/BASIC DOSIMETRY
80164,DRUG ASSAY VALPROIC DIPROPYLACETIC ACID TOTAL
80327,DRUG SCREEN QUANT ANABOLIC STEROID 1 OR 2
80328,DRUG SCREEN QUANT ANABOLIC STEROID 3 OR MORE
80340,ANTIEPILEPTICS NOT OTHERWISE SPECIFIED 4-6
80342,ANTIPSYCHOTICS NOT OTHERWISE SPECIFIED 1-3
80347,DRUG SCREENING BENZODIAZEPINES 13 OR MORE
80352,DRUG SCREENING CANNABINOIDS SYNTHETIC 7/MORE
80357,DRUG SCREENING KETAMINE AND NORKETAMINE
80369,DRUG SCREENING SKELETAL MUSCLE RELAXANTS 1 OR 2
81313,PCA3/KLK3 PROSTATE SPECIFIC ANTIGEN RATIO
81427,GENOME RE-EVALUATION OF PREC OBTAINED GENOME SEQ
83006,GROWTH STIMULATION EXPRESSED GENE 2
87505,NFCT AGENT DNA/RNA GASTROINTESTINAL PATHOGEN
89337,CRYOPRESERVATION MATURE OOCYTE(S)
93260,PRGRMG DEV EVAL IMPLANTABLE SUBQ LEAD DFB SYSTEM
93295,INTERROGATION EVAL REMOTE </90 D 1/2/MLT LD DFB
93355,ECHO TEE GUID TCAT ICAR/VESSEL STRUCTURAL INTVN
99184,INITIAT SELECTIVE HEAD/BODY HYPOTHERMIA NEONATE
99490,CHRON CARE MANAGEMENT SRVC 20 MIN PER MONTH
0071T,US ABLATJ UTERINE LEIOMYOMATA < 200 CC TISSUE
0314T,LAPS RMVL NSTIM ELTRD ARRAY & PLS GEN VAGUS NRV
0355T,GI TRACT IMAGING INTRALUMINAL COLON WITH I&R
19082,BX BREAST W/DEVICE ADDL LESION STEREOTACT GUID
20604,ARTHROCNT ASPIR&/INJ SMALL JT/BURSAW/US REC RPRT
20605,ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/O US
22510,PERQ VERTEBROPLASTY UNI/BI INJX CERVICOTHORACIC
33949,ECMO/ECLS DAILY MANAGEMENT EA DAY VENO-ARTERIAL
33951,ECMO/ECLS INSJ OF PRPH CANNULA BIRTH-5 YRS PERQ
33952,ECMO/ECLS INSJ OF PRPH CANNULA 6 YRS&OLDER PERQ
33954,ECMO/ECLS INSJ OF PRPH CANNULA 6 YRS&OLDER OPEN
33955,ECMO/ECLS INSJ OF CENTRAL CANNULA BIRTH-5 YRS
33959,ECMO/ECLS REPOS PERPH CANNULA OPEN BIRTH-5 YRS
33962,ECMO/ECLS REPOS PERPH CANNULA OPEN 6 YRS & OLDER
33963,ECMO/ECLS REPOS CENTRAL PERPH CANNULA BIRTH-5YRS
33964,ECMO/ECLS ECLS REPOS CENTRAL CNULA 6YRS & OLDER
33965,ECMO/ECLS RMVL OF PERPH CANNULA PERQ BIRTH-5 YRS
33967,INSERTION INTRA-AORTIC BALLOON ASSIST DEV PERQ
34839,PLNNING PT SPEC FENEST VISCERAL AORTIC GRAFT
37218,TCATH STENT PLACEMT ANTEGRADE CAROTID/INNOMINATE
43752,NASO/ORO-GASTRIC TUBE PLMT REQ PHYS&FLUOR GDNCE
44380,ILEOSCOPY THRU STOMA DX W/COLLJ SPEC WHEN PRFMD
44388,COLONOSCOPY STOMA DX INCLUDING COLLJ SPEC SPX
44404,COLONOSCOPY STOMA W/SUBMUCOSAL INJECTION
44406,COLONOSCOPY STOMA W/ENDOSCOPIC ULTRASOUND EXAM
46607,ANOSCOPY DX W/HRA &CHEM AGNTS ENHANCEMENT W/BX
62302,MYELOGRAPHY VIA LUMBAR INJECTION RS&I CERVICAL
62303,MYELOGRAPHY VIA LUMBAR INJECTION RS&I THORACIC
64487,TAP BLOCK UNILATERAL BY CONTINUOUS INFUSION(S)
77385,INTENSITY MODULATED RADIATION TX DLVR SIMPLE
80324,DRUG SCREEN QUANT AMPHETAMINES 1 OR 2
80326,DRUG SCREEN QUANT AMPHETAMINES 5 OR MORE
80335,ANTIDEPRESSANTS TRICYCLIC OTHER CYCLICALS 1 OR 2
80345,DRUG SCREENING BARBITURATES
80350,DRUG SCREENING CANNABINOIDS SYNTHETIC 1-3
80365,DRUG SCREENING OXYCODONE
80370,DRUG SCREENING SKEL MUSCLE RELAXANTS 3 OR MORE
80372,DRUG SCREENING TAPENTADOL
80376,DRUG/SUBSTANCE DEFINITIVE QUAL/QUANT NOS 4-6
80377,DRUG/SUBSTANCE DEFINITIVE QUAL/QUANT NOS 7/MORE
81288,MLH1 GENE ANALYSIS PROMOTER METHYLATION ANALYSIS
81420,FETAL CHROMOSOMAL ANEUPLOIDY GENOMIC SEQ ANALYS
81431,HEARING LOSS DUP/DEL ANALYSIS
81470,X-LINKED INTELLECTUAL DBLT GENOMIC SEQ ANALYS
90630,INFLUENZA VACC IIV4 SPLIT VIRUS PRSRV FREE ID
92145,CORNEA HYSTERESIS DETERMIN IMPULSE STIMJ UNI/BI
93895,CAROTID INTIMA MEDIA & CAROTID ATHEROMA EVAL BI
3126F,ESOPH BX RPRT W/DYSPLAS INFO AND APPROP GRADING
0352T,OCT BREAST OR AXILL NODE SPECIMEN I&R
0354T,OCT BREAST SURG CAVITY REAL TIME/REFERRED I&R
0357T,CRYOPRESERVATION IMMATURE OOCYTE(S)
20600,ARTHROCENTESIS ASPIR&/INJ SMALL JT/BURSA W/O US
20606,ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/US
27279,ARTHRODESIS SACROILIAC JOINT PERCUTANEOUS
33249,INSJ/RPLCMT PERM DFB W/TRNSVNS LDS 1/DUAL CHMBR
33264,RMVL IMPLTBL DFB PLS GEN W/RPLCMT PLS GEN MLT LD
33273,REPOS PREVIOUSLY IMPLANTED SUBQ IMPLANTABLE DFB
44405,COLONOSCOPY STOMA W/BALLOON DILATION
44408,COLONOSCOPY THROUGH STOMA WITH DECOMPRESSION
44799,UNLISTED PROCEDURE SMALL INTESTINE
45340,SIGMOIDOSCOPY FLX TNDSC BALO DILAT
45346,SIGMOIDOSCOPY FLX ABLATION TUMOR POLYP/OTH LES
45384,COLSC FLX W/REMOVAL LESION BY HOT BX FORCEPS
45389,COLONOSCOPY FLX WITH ENDOSCOPIC STENT PLACEMENT
45398,COLONOSCOPY FLEXIBLE WITH BAND LIGATION(S)
62305,MYELOGRAPHY VIA LUMBAR INJECTION RS&I 2+ REGIONS
66179,AQUEOUS SHUNT EXTRAOCULAR RESERVOIR W/O GRAFT
66185,REVJ AQUEOUS SHUNT EXTRAOCULAR RESERVOIR W/GRAFT
76641,US BREAST UNI REAL TIME WITH IMAGE COMPLETE
76642,US BREAST UNI REAL TIME WITH IMAGE LIMITED
77061,DIGITAL BREAST TOMOSYNTHESIS UNILATERAL
80322,DRUG SCREEN QUANT ALCOHOLS BIOMARKERS 3 OR MORE
80325,DRUG SCREEN QUANT AMPHETAMINES 3 OR 4
80331,DRUG SCREEN ANALGESICS NON-OPIOID 6 OR MORE
80336,ANTIDEPRESSANTS TRICYCLIC OTHER CYCLICALS 3-5
80344,ANTIPSYCHOTICS NOT OTHERWISE SPECIFIED 7/MORE
80346,DRUG SCREENING BENZODIAZEPINES 1-12
80349,DRUG SCREENING CANNABINOIDS NATURAL
80355,DRUG SCREENING GABAPENTIN NON-BLOOD
80359,DRUG SCREENING METHYLENEDIOXYAMPHETAMINES
80360,DRUG SCREENING METHYLPHENIDATE
80364,DRUG SCREENING OPIOIDS & OPIATE ANALOGS 5/MORE
80366,DRUG SCREENING PREGABALIN
80371,DRUG SCREENING STIMULANTS SYNTHETIC
81416,EXOME SEQUENCE ANALYSIS EACH COMPARATOR EXOME
81440,NUCLEAR MITOCHONDRIAL 100 GENE GENOMIC SEQ
86900,BLOOD TYPING SEROLOGIC ABO
87623,IADNA HUMAN PAPILLOMAVIRUS LOW-RISK TYPES
88344,IMHISTOCHEM/CYTCHM EA MULTIPLEX ANTIBODY SLIDE
88373,M/PHMTRC ALYS ISH QUANT/SEMIQ CPTR PER SPEC EACH
88374,M/PHMTRC ALYS ISH QUANT/SEMIQ CPTR EACH MULTIPRB
93261,INTERROGATION EVAL F2F IMPLANT SUBQ LEAD DEFIB
97607,NEG PRESSURE WOUND THERAPY NON DME </= 50 SQ CM
3496F,CD4+ CELL COUNT >= 500 CELLS/MM
0345T,TRANSCATH MITRAL VALVE REPAIR VIA CORONARY SINUS
0349T,RADIOSTEREOMETRIC ANALYSIS UPPER EXTREMITY EXAM
0351T,INTRAOP OCT BREAST OR AXILL NODE EACH SPECIMEN
0379T,VISUAL FIELD ASSESSMENT TECH SUPPORT W/INSTRUCT
0380T,COMP ANIMATION RETINA IMAGE TIME SERIES ANALYSIS
20610,ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/O US
22512,VERTEBROPLASTY EACH ADDL CERVICOTHOR/LUMBOSACRAL
33947,ECMO/ECLS INITIATION VENO-ARTERIAL
44407,COLONOSCOPY STOMA W/US GID NDL ASPIR/BX
45399,UNLISTED PROCEDURE COLON
66180,AQUEOUS SHUNT EXTRAOC EQUAT PLATE RSVR W/GRAFT
67399,UNLISTED PROCEDURE EXTRAOCULAR MUSCLE
77386,INTENSITY MODULATED RADIATION TX DLVR COMPLEX
80323,ALKALOIDS NOT OTHERWISE SPECIFIED
80329,DRUG SCREEN ANALGESICS NON-OPIOID 1 OR 2
80338,ANTIDEPRESSANTS NOT OTHERWISE SPECIFIED
80348,DRUG SCREENING BUPRENORPHINE
80353,DRUG SCREENING COCAINE
80375,DRUG/SUBSTANCE DEFINITIVE QUAL/QUANT NOS 1-3
81246,FLT3 GENE ANLYS TYROSINE KINASE DOMAIN VARIANTS
81415,EXOME SEQUENCE ANALYSIS
81425,GENOME SEQUENCE ANALYSIS
81445,GEN SEQ ANALYS SOLID ORGAN NEOPLASM 5-50 GENE
81519,ONCOLOGY BREAST MRNA GENE EXPRESSION 21 GENES
86901,BLOOD TYPING SEROLOGIC RH (D)
87506,IADNA-DNA/RNA GI PTHGN MULTIPLEX PROBE TQ 6-11
87624,IADNA HUMAN PAPILLOMAVIRUS HIGH-RISK TYPES
87625,IADNA HUMAN PAPILLOMAVIRUS TYPES 16 & 18 ONLY
88364,IN SITU HYBRIDIZATION EA ADDL PROBE STAIN
88366,IN SITU HYBRIDIZATION EA MULTIPLEX PROBE STAIN
93284,PRGRMG EVAL IMPLANTABLE IN PERSON MULTI LEAD DFB
97608,NEG PRESSURE WOUND THERAPY NON DME >50 SQ CM
99188,APPLICATION TOPICAL FLUORIDE VARNISH BY PHS/QHP
3776F,ADENOMA(S)/NEOPLASM NOT DETECTED SCRNG CLNSCPY
0342T,THERAPEUTIC APHERESIS W/SELECTIVE HDL DELIP
0348T,RADIOSTEREOMETRIC ANALYSIS SPINE EXAM
0353T,OCT OF BREAST SURG CAVITY REAL TIME INTRAOP
0376T,ANT SEGMENT INSERT DRAIN W/O RESERVOIR EA ADDL
47533,PRQ PLMT BILIARY DRG CATH W/IMG GID RS&I EXTERNL
65785,IMPLANTATION INTRASTROMAL CORNEAL RING SEGMENTS
77771,HDR RDNCL NTRSTL/INTRCAV BRACHYTX 2-12 CHANNEL
78265,GASTRIC EMPTYNG IMAG STD W/SM BWL TRANSIT
81218,CEBPA GENE ANALYSIS FULL GENE SEQUENCE
87390,IAAD IA HIV-1
90697,DTAP-IPV-HIB-HEPB VACCINE INTRAMUSCULAR
90739,HEPB VACCINE ADULT 2 DOSE SCHEDULE FOR IM USE
90744,HEPB VACCINE PED/ADOLESC 3 DOSE SCHEDULE IM
99177,INSTRUMENT BASED OCULAR SCR BI W/ONSITE ANALYSIS
6030F,ALL ELEM OF MAX STERILE BARRIER TECHNQ FLWD
0381T,XTRNL HRT RATE EPI SEIZ UP TO 14 DAYS COMPLETE
0402T,COLLAGEN CROSS-LINKING OF CORNEA
0405T,OVERSIGHT CARE OF XTRCORP LIVER ASSIST SYS PAT
33477,TCAT PULMONARY VALVE IMPLANTATION PRQ APPROACH
47534,PRQ PLMT BILIARY DRG CATH W/IMG GID RS&I INT-EXT
47540,PLMT BILE DUCT STENT PRQ NEW ACCESS W/SEP CATH
47542,BALLOON DILAT BILIARY DUCT/AMPULLA PRQ EACH DUCT
50432,PLMT NEPHROSTOMY CATH PRQ NEW ACCESS RS&I
81219,CALR GENE ANALYSIS COMMON VARIANTS IN EXON 9
81412,ASHKENAZI JEWISH ASSOC DSRDRS GEN SEQ ANAL 9 GEN
81535,ONCOLOGY GYNE LIVE TUM CELL CLTR&CHEMO RESP 1ST
86708,HEPATITIS A ANTIBODY HAAB
87305,IAAD IA QUAL/SEMIQUAN MULTIPLE STEP ASPERGILLUS
90662,IIV VACCINE PRESERV FREE INCREASED AG CONTENT IM
90698,DTAP-IPV/HIB VACCINE FOR INTRAMUSCULAR USE
90747,HEPB VACCINE DIALYSIS/IMMUNSUP PAT 4 DOSE IM
90748,HIB-HEPB VACCINE FOR INTRAMUSCULAR USE
0382T,XTRNL HRT RATE EPI SEIZ UP TO 14 DAYS R&I ONLY
0384T,XTRNL HRT RATE EPI SEIZ 15 TO 30 DAYS R&I ONLY
0394T,HDR ELECTRONIC BRACHYTHERAPY SKIN SURFACE
50431,NJX PX ANTEGRDE NFROSGRM &/URTRGRM EXSTNG ACESS
50606,ENDOLUMINAL BX URTR &/RNL PELVIS NONENDOSCOPIC
67227,DESTRUCTION RETINOPATHY CRYOTHERAPY DIATHERMY
72081,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 1 VW
77789,SURFACE APPLIC LOW DOSE RATE RADIONUCLIDE SOURCE
80159,DRUG ASSAY CLOZAPINE
81435,HEREDITARY COLON CA DSRDRS GEN SEQ ANALYS 10 GEN
81436,HEREDITARY COLON CA DSRDRS DUP/DEL ANALYS 5 GEN
81540,ONCOLOGY TUM UNKNOWN ORIGIN MRNA 92 GENES
90648,HIB PRP-T VACCINE 4 DOSE SCHEDULE IM USE
90660,LAIV3 VACCINE LIVE FOR INTRANASAL USE
90672,LAIV4 VACCINE FOR INTRANASAL USE
90702,DT VACCINE YOUNGER THAN 7 YRS FOR IM USE
90714,TD VACCINE PRSRV FREE 7 YRS OR OLDER FOR IM USE
90736,ZOSTER VACCINE HZV LIVE FOR SUBCUTANEOUS USE
92537,CALORIC VESTIBULAR TEST W/REC BI BITHERMAL
99416,PROLNG CLINCL STAFF SVC DURING O/P E/M EA 30 MIN
2021F,DILATED MACULAR OR FUNDUS EXAM PERFORMED
0385T,XTRNL HRT RATE EPI SEIZ OVER 30 DAYS COMPLETE
0396T,INTRAOP KINETIC BALANCE SENSR KNEE RPLCMT ARTHRP
0403T,DIABETES PREVENTION PROG STANDARDIZED CURRICULUM
47537,REMOVAL BILIARY DRG CATHETER REQ FLUOR GID RS&I
50526,CLSR NEPHROVISCERAL FISTULA W/VISC RPR THRC APPR
80158,DRUG ASSAY CYCLOSPORINE
81272,KIT GENE ANALYSIS TARGETED SEQUENCE ANALYSIS
87450,IAAD IA SINGLE STEP METHOD NOS EA ORGANISM
87451,IAAD IA POLYV MLT ORGANISMS EA POLYV ANTISERUM
90650,2VHPV VACCINE 3 DOSE SCHEDULE FOR IM USE
90733,MPSV4 VACCINE GROUPS ACYW-135 SUBQ USE
99415,PROLNG CLINCL STAFF SVC DURING O/P E/M 1ST HR
37253,INTRAVASCULAR US NONCORONARY RS&I ADDL VESSEL
47541,PLMT ACCESS THRU BILIARY TREE INTO SMALL BWL NEW
47544,REMOVAL BILIARY DUCT &/GLBLDR CALCULI PERQ RS&I
50694,PLMT URTRL STNT PRQ NEW ACESS W/O SEP NFROS CATH
54437,REPAIR OF TRAUMATIC CORPOREAL TEAR(S)
61650,EVASC INTRACRANIAL PROLNG ADMN RX AGENT ART 1ST
69209,REMOVAL IMPACTED CERUMEN IRRIGATION/LVG UNILAT
73552,RADIOLOGIC EXAMINATION FEMUR MINIMUM 2 VIEWS
80155,DRUG ASSAY CAFFEINE
81525,ONCOLOGY COLON MRNA GENE EXPRESSION 12 GENES
87327,IAAD IA CRYPTOCOCCUS NEOFORMANS
87337,IAAD IA ENTAMOEBA HISTOLYTICA GRP
90717,YELLOW FEVER VACCINE LIVE SUBQ
90743,HEPB VACCINE ADOLESCENT 2 DOSE SCHEDULE IM
3084F,KT/V >/= 1.7
0383T,XTRNL HRT RATE EPI SEIZ 15 TO 30 DAYS COMPLETE
31653,BRNCHSC EBUS GUIDED SAMPL 3/> NODE STATION/STRUX
37184,PRIM PRQ TRLUML MCHNL THRMBC N-COR N-ICRA 1ST
74713,FETAL MRI W/PLACNTL MATRNL PLVC IMG EA ADDL GES
77767,HDR RDNCL SKN SURF BRACHYTX LES </2CM/1 CHAN
80169,DRUG ASSAY EVEROLIMUS
81434,HEREDITARY RETINAL DSRDRS GEN SEQ ANALYS 15 GEN
81437,HEREDTRY NURONDCRN TUM DSRDRS GEN SEQ ANAL 6 GEN
87336,IAAD IA ENTAMOEBA HISTOLYTICA DISPAR GRP
90716,VAR VACCINE LIVE FOR SUBCUTANEOUS USE
50705,URETERAL EMBOLIZATION/OCCLUSION W/IMG GID RS&I
64461,PVB THORACIC SINGLE INJECTION SITE W/IMG GID
72082,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 2/3 VW
73503,RADEX HIP UNILATERAL WITH PELVIS MINIMUM 4 VIEWS
77772,HDR RDNCL NTRSTL/INTRCAV BRACHYTX >12 CHANNELS
78264,GASTRIC EMPTYING IMAGING STUDY
87340,IAAD IA HEPATITIS B SURFACE ANTIGEN
87449,IAAD IA MULT STEP METHOD NOS EACH ORGANISM
90647,HIB PRP-OMP VACCINE 3 DOSE SCHEDULE IM USE
90732,PPSV23 VACCINE 2 YRS OR OLDER FOR SUBQ/IM USE
90746,HEPB VACCINE ADULT 3 DOSE SCHEDULE FOR IM USE
92538,CALORIC VESTIBULAR TEST W/REC BI MONOTHERMAL
0400T,MULTI-SPECTRAL DIGITAL SKIN LES ANALYSIS 1-5 LES
10035,PERQ SFT TISS LOC DEVICE PLMT 1ST LES W/GDNCE
37252,INTRAVASCULAR US NONCORONARY RS&I INTIAL VESSEL
39401,MEDIASTINOSCOPY INCLUDES MEDIASTINAL MASS BIOPSY
39402,MEDIASTINOSCOPY WITH LYMPH NODE BIOPSY/IES
47536,EXCHANGE BILIARY DRG CATHETER PRQ W/IMG GID RS&I
54438,REPLANTATION PENIS COMP AMPUTATION W/URETH REP
65855,TRABECULOPLASTY BY LASER SURGERY
73501,RADEX HIP UNILATERAL WITH PELVIS 1 VIEW
73523,RADEX HIPS BILATERAL WITH PELVIS MINIMUM 5 VIEWS
81273,KIT GENE ANALYSIS D816 VARIANT(S)
81314,PDGFRA GENE ANALYS TARGETED SEQUENCE ANALYS
81528,ONCOLOGY COLORECTAL SCREENING QUAN 10 DNA MARKRS
87324,IAAD IA CLOSTRIDIUM DIFFICILE TOXIN
87335,IAAD IA ESCHERICHIA COLI 0157
87385,IAAD IA HISTOPLASM CAPSULATUM
87427,IAAD IA SHIGA-LIKE TOXIN
88350,IMMUNOFLUORESCENCE PER SPEC ADD SINGL ANTB STAIN
99354,PROLNG E&M/PSYCTX SVC OFFICE O/P DIR CON 1ST HR
4245F,PT TLK 1ST VST TO KEEP/RESUME NORMAL ACTIVITIES
47538,PLMT BILE DUCT STENT PRQ EXISTING ACCESS
50433,PLMT NEPHROURETERAL CATH PRQ NEW ACCESS RS&I
72084,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 6/> VW
73502,RADEX HIP UNILATERAL WITH PELVIS 2-3 VIEWS
77417,THERAPEUTIC RADIOLOGY PORT IMAGES(S)
78266,GSTRC EMPTNG IMAG STD W/SM BWL COL TRNST MLT DAY
81275,KRAS GENE ANALYSIS VARIANTS IN EXON 2
81276,KRAS GENE ANALYSIS ADDITIONAL VARIANT(S)
81311,NRAS GENE ANALYSIS VARIANTS IN EXON 2&3
87341,IAAD IA HEPATITIS B SURFACE AG NEUTRALIZATION
87350,IAAD IA HEPATITIS BE ANTIGEN
87380,IAAD IA HEPATITIS DELTA ANTIGEN
88346,IMMUNOFLUORESCENCE PER SPEC 1ST SINGL ANTB STAIN
90664,LAIV VACCINE PANDEMIC FORMULA FOR INTRANASAL USE
4481F,PT RCVNG ACE/ARB AND BETA BLOCKER < 3 MONTHS
31654,BRNSCHSC TNDSC EBUS DX/TX INTERVENTION PERPH LES
47531,NJX CHOLANGIO PRQ W/IMG GID RS&I EXISTING ACCESS
50434,CONVERT NEPHROSTOMY CATH TO NEPHROURTRL CATH PRQ
77770,HDR RDNCL NTRSTL/INTRCAV BRACHYTX 1 CHANNEL
81536,ONCOLOGY GYNE LIVE TUM CELL CLTR&CHEMO RESP ADD
87329,IAAD IA GIARDIA
87332,IAAD IA CYTOMEGALOVIRUS
87339,IAAD IA HPYLORI
90634,HEPA VACCINE 3 DOSE SCHEDULE PED/ADOLESC IM USE
93050,ART PRESS WAVEFORM ANALYS CENTRAL ART PRESSURE
96932,RCM CELULR & SUBCELULR SKN IMGNG IMG ACQUISITION
96933,RCM CELULR & SUBCELULR SKN IMGNG I&R 1ST LES
96936,RCM CELULR & SUBCELULR SKN IMGNG I&R EA ADDL
50695,PLMT URTRL STENT PRQ NEW ACCESS W/SEP NFROS CATH
64463,PVB THORACIC CONT CATHETER INFUSION W/IMG GID
72083,RADEX ENTIR THRC LMBR CRV SAC SPI W/SKULL 4/5 VW
77768,HDR RDNCL SK SRF BRCHYTX LES >2CM&2CHAN/MLT LES
81432,HEREDITARY BRST CA-RELATED GEN SEQ ANALYS 10 GEN
87338,IAAD IA HPYLORI STOOL
87420,IAAD IA RESPIRATORY SYNCTIAL VIRUS
87425,IAAD IA ROTAVIRUS
0386T,XTRNL HRT RATE EPI SEIZ OVER 30 DAYS R&I ONLY
0395T,HDR ELECTRONIC BRACHYTHERAPY NTRSTL/INTRCAV
0397T,ERCP WITH OPTICAL ENDOMICROSCOPY ADD ON
0398T,MRGFUS STEREOTACTIC ABLATION LESION INTRACRANIAL
11921,TATTOOING INCL MICROPIGMENTATION 6.1-20.0 CM
37185,PRIM PRQ TRLUML MCHNL THRMBC N-COR N-ICRA SBSQ
43210,EGD PARTIAL/COMPL ESOPHAGOGASTRIC FUNDOPLASTY
47535,CONV EXT BIL DRG CATH TO INT-EXT BIL DRG CATH
47539,PLMT BILE DUCT STENT PRQ NEW ACCESS W/O SEP CATH
47543,ENDOLUMINAL BX BILIARY TREE PRQ ANY METH 1/MLT
50387,RMVL & RPLCMT XTRNL ACCESSIBLE NEPHROURTRL CATH
